district_id,district_name,literacy_rate,population,coverage_percentage,fund_utilization,month,monthly_variance
D001,North Valley,58.5,75000,69.8,54.2,2024-04,11.8
D001,North Valley,58.5,75000,73.1,60.5,2024-05,7.2
D001,North Valley,58.5,75000,67.4,51.3,2024-06,20.5
D002,South Hills,72.3,45000,83.5,67.8,2024-04,8.5
D002,South Hills,72.3,45000,85.9,70.1,2024-05,6.3
D002,South Hills,72.3,45000,82.8,65.2,2024-06,10.9
D003,East Plains,62.1,62000,73.9,57.6,2024-04,13.2
D003,East Plains,62.1,62000,75.8,61.9,2024-05,9.8
D003,East Plains,62.1,62000,71.2,53.4,2024-06,17.4
D004,West Coast,78.5,38000,89.5,74.8,2024-04,5.9
D004,West Coast,78.5,38000,90.2,76.5,2024-05,5.1
D004,West Coast,78.5,38000,88.7,72.9,2024-06,6.8
D005,Central Valley,55.2,85000,66.2,47.8,2024-04,23.8
D005,Central Valley,55.2,85000,68.9,51.6,2024-05,18.2
D005,Central Valley,55.2,85000,64.7,45.1,2024-06,26.9
D011,Desert Zone,49.7,61000,56.8,40.3,2024-04,39.2
D011,Desert Zone,49.7,61000,59.4,43.7,2024-05,35.6
D011,Desert Zone,49.7,61000,53.9,37.1,2024-06,41.8
D012,Forest Region,67.4,58000,76.2,61.4,2024-04,12.3
D012,Forest Region,67.4,58000,78.5,64.8,2024-05,10.1
D012,Forest Region,67.4,58000,74.1,58.2,2024-06,14.7
